AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Dog,Rottweiler,6.0,32.1,Chronic illness,Anorexia,Hydrophobia,drooping ears,Diarrhea,Shyness or aggression
Dog,Bulldog,9.9,18.5,Vaccinated,Lethargy,Weakness,Horny growth,Fever,Coughing
Dog,Beagle,13.9,18.9,Parasite history,Pain,Weight loss,Weight loss,Sneezing,Drop on egg production
cat,Scottish Fold,5.8,6.3,Recent surgery,Vomiting,Pain,Edema in lower jaw,Pain,Weakness
cat,Persian,11.2,4.9,Recent surgery,Severe,Weight loss,Egg production stops,Weakness,Poor Body condition
Dog,Mixed Breed,4.2,13.4,Chronic illness,Weakness,Diarrhea,Weight loss,Diarrhea,Weight loss
Dog,Boxer,2.6,27.6,Dental issues,Indigestion,Abdminal pain,Constipation,Diarrhea,Nausea
Dog,Yorkshire Terrier,12.4,3.8,Previous heart condition,Weakness,Weight loss,Muscle twiching,Shivering,Vomiting
cat,Maine Coon,5.9,5.7,Previous kidney disease,outstretched neck,dull ness,inappetence,noisy breathing,coughing
Dog,Beagle,1.7,16.2,Allergies,Fever,Loss of  appetite,Reduce Energy,Lameness,Swelling of joints
cat,Bengal,8.3,3.8,Parasite history,Weight loss,Coughing,Fell unwell,Loss of appettite,Diarrhea
cat,British Shorthair,7.3,4.5,Skin conditions history,Skin colour change,Limping,Raw,Sensitive to touch,Flabby
Dog,Golden Retriever,11.4,38.4,Skin conditions history,Weakness,Pain,Vomiting,Pain,Shaking head
Dog,Yorkshire Terrier,11.0,5.1,Parasite history,Vomiting,Pain,Fever,Weight loss,Anorexia
cat,Ragdoll,16.4,6.2,Skin conditions history,Fever,Weight loss,Coughing,Vomiting,Lethargy
cat,Siamese,4.8,3.8,Recent surgery,Green Dropping,Weakness,Weight loss,Swollen left abdomen,Fever
Dog,Beagle,7.6,23.6,Vaccinated,Abortion on late pregancy,Stillbirth,Retained Placenda,Endomeritis,Decrease appetite
cat,Scottish Fold,14.4,4.2,Parasite history,wasting,stumbling,listlessness,drooling,urination problem
Dog,Boxer,0.9,29.8,Chronic illness,swollen,red-colored ,hot udder,Milk getting out more watery,Milk getting out more thick
Dog,Golden Retriever,9.1,37.2,Vaccinated,Discharge From eyes,Blindness,Scartches,Redness of eye,Pains
Dog,Poodle,3.3,4.5,Recent surgery,Excessive blood loss,dizziness and fainting,Blurry vision,watery eyes,slow growth
cat,Scottish Fold,16.2,4.4,Recent surgery,Corneal Ulceration,Sneezing,Swelling may occur under jaw,Vomiting,Blue straws
Dog,Bulldog,5.4,15.0,No previous conditions,Weakness,Weight loss,Lethargy,Weakness,Lethargy
cat,Persian,6.4,4.6,Chronic illness,Smell,Diarrhea,loss of appetite,Excess sleeping,Folded Ears
Dog,Rottweiler,2.8,25.0,Dental issues,Weight Loss,Fever,Fever,Vomiting,Fever
cat,Maine Coon,5.6,7.3,Skin conditions history,Watering of eyes,Redness of white of the eye,Swelling of eyelid,Cornea become cloudy,Tear production
Dog,Boxer,9.2,24.1,Dental issues,Weight loss,Fever,Pain,Poor immune function,Inflammed eye
Dog,Beagle,12.1,21.0,Previous kidney disease,Stand with head droping,Weight loss,Fever,Abnormal behaviour,Pneumonia 
cat,British Shorthair,13.0,6.5,Skin conditions history,Facial edema,Loss of earing,Vomiting,Head ache,Throat and Ear pain
Dog,Yorkshire Terrier,13.2,7.3,Allergies,Fever,loss of appetite,Depression,Loss of appetite,Pains
cat,Ragdoll,13.0,6.4,Vaccinated,Fever,Dullness,Relunctance to walk,Infected navels,Pains
Dog,Bulldog,6.7,15.0,Allergies,Sneezing,Coughing,Diarrhea,Retarded Growth,Weakness
cat,British Shorthair,17.0,2.5,Allergies,Dyspnea,Vomiting,Pain,Anorexia,Diarrhea
cat,Ragdoll,17.4,6.9,Chronic illness,Weight loss,Weight loss,Anorexia,Sneezing,Weight loss
cat,Mixed Breed,16.2,4.1,No previous conditions,Decreased growth of bone,Depression,Grunting,Lameness,Weight loss
Dog,Beagle,14.6,29.7,Previous heart condition,Weakness,Anorexia,Anorexia,Pain,Shivering
cat,British Shorthair,9.1,6.1,Skin conditions history,Anorexia,Sneezing,Diarrhea,Vomiting,Weakness
cat,Maine Coon,7.2,8.4,Allergies,Ruffled Appearance,Loss of Appetite,Vomiting,Green Dropping,Nasal Discharge
cat,Scottish Fold,10.8,3.6,Skin conditions history,Anorexia, rapid heartbeats,Vomiting,Sneezing,Pain
Dog,Boxer,2.7,27.9,Not vaccinated,restless movement,weakness,decreased stool production,heavy breathing,distended stomach
cat,Persian,3.1,6.4,Previous kidney disease,Weight loss,Weight loss,Coughing,inappetence,Lethargy
cat,Siamese,14.6,6.2,Allergies,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis
Dog,Yorkshire Terrier,13.5,4.4,Previous heart condition,Lethargy,Loss of appetite,Swelling,Nasal Discharge,Blindness
cat,Siamese,4.2,6.6,Recent surgery,Weight loss,Weakness,Vomiting,Fever,Fever
Dog,Mixed Breed,4.5,27.5,Skin conditions history,Enteritis,Weight loss,Halitosis,Air sacculitis,Coughing
cat,British Shorthair,8.2,5.2,Parasite history,Dark or black face,Diarrhea,Vomiting,Blood in faces,Pain
