animal_type,breed,age,weight,gender,primary_symptom,secondary_symptoms,data_source,age_category,weight_category,symptom_count,has_fever,has_vomiting,has_diarrhea,has_lethargy,has_coughing,has_appetite_loss,has_skin_lesions,has_lameness,symptom_severity,is_emergency,is_chronic,breed_size,breed_health_risk,life_stage,is_young,is_senior,weight_age_ratio,weight_status,symptom_pattern,season,time_of_day,urgency_level,animal_type_encoded,breed_encoded,gender_encoded,primary_symptom_encoded,symptom_severity_encoded,breed_size_encoded,breed_health_risk_encoded,life_stage_encoded,weight_status_encoded,symptom_pattern_encoded,season_encoded,time_of_day_encoded,data_source_encoded
Unknown,Unknown,,,Unknown,Digestive Issues,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Fall,Afternoon,1,35,117,2,147,2,4,5,6,3,18,0,0,2
Unknown,Unknown,,,Unknown,Mobility Problems,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Winter,Night,1,35,117,2,391,2,4,5,6,3,19,3,3,2
Unknown,Unknown,,,Unknown,Mobility Problems,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Spring,Night,1,35,117,2,391,2,4,5,6,3,18,1,3,2
Unknown,Unknown,,,Unknown,Digestive Issues,Vomiting,Pet Health Symptoms,,,1,False,True,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Fall,Night,1,35,117,2,147,2,4,5,6,3,2,0,3,2
Unknown,Unknown,,,Unknown,Parasites,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Fall,Evening,1,35,117,2,442,2,4,5,6,3,18,0,1,2
Unknown,Unknown,,,Unknown,Ear Infections,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,General,Winter,Afternoon,1,35,117,2,177,2,4,5,6,3,18,3,0,2
Unknown,Unknown,,,Unknown,Skin Lesions,,Pet Health Symptoms,,,0,False,False,False,False,False,False,True,False,Medium,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Dermatological,Spring,Afternoon,2,35,117,2,567,3,4,5,6,3,0,1,0,2
Unknown,Unknown,,,Unknown,Ear Infections,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Musculoskeletal,Spring,Morning,1,35,117,2,177,2,4,5,6,3,19,1,2,2
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss; Vomiting,Pet Health Symptoms,,,2,False,True,False,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Fall,Morning,1,35,117,2,147,2,4,5,6,3,2,0,2,2
Unknown,Unknown,,,Unknown,Digestive Issues,Diarrhea,Pet Health Symptoms,,,1,False,False,True,False,False,False,False,False,Low,False,False,Unknown,Low Risk,Unknown,False,False,,Unknown,Gastrointestinal,Summer,Morning,1,35,117,2,147,2,4,5,6,3,2,2,2,2
