animal_type,health_condition,weight_kg,daily_calories,protein_level,fat_level,carbohydrate_level,fiber_level,sodium_level,phosphorus_level,recommended_food_types,foods_to_avoid,special_considerations,monitoring_requirements,vet_consultation_frequency
Dog,kidney_disease,2,108.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,5,270.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,10,540.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,20,1080.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,30,1620.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,40,2160.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Dog,kidney_disease,50,2700.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Cat,kidney_disease,2,126.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Cat,kidney_disease,5,315.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
Cat,kidney_disease,10,630.0,reduced,moderate,moderate,moderate,low,low,prescription_kidney_diet,high_protein; high_phosphorus,"Monitor water intake, regular blood work, low phosphorus","Monthly blood work, urine analysis, weight monitoring",Monthly
