animal_type,breed,age,weight,gender,primary_symptom,secondary_symptoms,data_source,age_category,weight_category,symptom_count,has_fever,has_vomiting,has_diarrhea,has_lethargy,has_coughing,has_appetite_loss,has_skin_lesions,has_lameness
Unknown,Unknown,,,Unknown,Digestive Issues,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Vomiting,Pet Health Symptoms,,,1,False,True,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Parasites,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Ear Infections,,Pet Health Symptoms,,,0,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Skin Lesions,,Pet Health Symptoms,,,0,False,False,False,False,False,False,True,False
Unknown,Unknown,,,Unknown,Ear Infections,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss; Vomiting,Pet Health Symptoms,,,2,False,True,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Diarrhea,Pet Health Symptoms,,,1,False,False,True,False,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Skin Lesions,Skin Lesions,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False
Unknown,Unknown,,,Unknown,Digestive Issues,Pain; Vomiting,Pet Health Symptoms,,,2,False,True,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Lameness,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,True
Unknown,Unknown,,,Unknown,Parasites,Diarrhea,Pet Health Symptoms,,,1,False,False,True,False,False,False,False,False
Unknown,Unknown,,,Unknown,Parasites,Skin Lesions,Pet Health Symptoms,,,1,False,False,False,False,False,False,True,False
Unknown,Unknown,,,Unknown,Digestive Issues,Weight Loss; Diarrhea,Pet Health Symptoms,,,2,False,False,True,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Lethargy,Pet Health Symptoms,,,1,False,False,False,True,False,False,False,False
Unknown,Unknown,,,Unknown,Parasites,Seizures,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Vomiting; Lethargy,Pet Health Symptoms,,,2,False,True,False,True,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Fever; Pain,Pet Health Symptoms,,,2,True,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Constipation,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Pain; Lameness,Pet Health Symptoms,,,2,False,False,False,False,False,False,False,True
Unknown,Unknown,,,Unknown,Digestive Issues,Lethargy,Pet Health Symptoms,,,1,False,False,False,True,False,False,False,False
Unknown,Unknown,,,Unknown,Digestive Issues,Coughing,Pet Health Symptoms,,,1,False,False,False,False,True,False,False,False
Unknown,Unknown,,,Unknown,Parasites,Coughing,Pet Health Symptoms,,,1,False,False,False,False,True,False,False,False
Unknown,Unknown,,,Unknown,Parasites,Pain,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Fever,Pet Health Symptoms,,,1,True,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Weight Loss,Pet Health Symptoms,,,1,False,False,False,False,False,False,False,False
Unknown,Unknown,,,Unknown,Mobility Problems,Fever; Lethargy,Pet Health Symptoms,,,2,True,False,False,True,False,False,False,False
