age,weight,symptom_count,weight_age_ratio,is_young,is_senior,is_emergency,is_chronic,urgency_level,animal_type_encoded,breed_encoded,gender_encoded,primary_symptom_encoded,symptom_severity_encoded,breed_size_encoded,breed_health_risk_encoded,life_stage_encoded,weight_status_encoded,symptom_pattern_encoded,season_encoded,time_of_day_encoded,data_source_encoded,has_fever,has_vomiting,has_diarrhea,has_lethargy,has_coughing,has_appetite_loss,has_skin_lesions,has_lameness
9.6,7.7,5,0.7264150943396227,False,True,False,False,1,3,89,2,106,2,4,5,5,0,27,1,3,4,True,False,False,False,True,False,False,False
16.1,4.3,5,0.25146198830409355,False,True,False,False,1,3,102,2,535,2,4,5,1,0,2,1,2,4,False,False,True,False,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,3,2,117,2,709,1,4,5,6,3,6,0,3,1,False,True,True,True,False,False,False,False
4.6,18.3,5,3.2678571428571432,False,False,False,False,2,7,23,2,694,3,4,2,0,0,6,3,0,4,False,True,False,True,False,False,False,False
9.2,22.9,5,2.2450980392156863,False,True,False,False,1,7,13,2,132,2,2,3,5,0,19,1,1,4,True,False,False,False,False,False,False,False
0.0,0.0,5,0.0,False,False,True,False,4,17,117,2,613,0,4,5,6,3,20,0,3,1,False,False,False,True,False,False,False,False
17.9,6.8,5,0.3597883597883598,False,True,False,False,1,3,102,2,44,2,4,5,1,0,9,2,2,4,False,False,True,True,False,True,False,False
10.3,2.5,5,0.22123893805309733,False,True,False,False,2,3,97,2,355,3,4,5,1,0,28,0,3,4,False,False,False,True,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,1,4,117,2,178,2,4,5,6,3,10,1,1,1,False,False,True,False,False,False,False,False
10.6,5.0,5,0.4310344827586207,False,True,False,False,2,3,16,2,128,3,4,5,1,0,10,1,1,4,False,False,True,False,True,True,False,False
14.7,22.8,5,1.4522292993630574,False,True,False,False,1,7,13,2,673,2,2,3,1,0,5,1,2,4,False,False,True,False,False,False,False,False
12.6,27.1,5,1.9926470588235297,False,True,False,False,3,7,63,2,229,1,1,6,1,0,9,0,1,4,True,False,True,True,False,False,False,True
3.8,24.5,5,5.104166666666667,False,False,False,False,2,7,23,2,27,3,4,2,0,0,5,0,2,4,True,False,False,False,False,True,False,False
12.1,5.3,5,0.40458015267175573,False,True,False,False,1,3,25,2,654,2,4,5,1,0,19,1,1,4,False,False,False,False,False,False,False,False
0.0,0.0,5,0.0,False,False,False,False,3,17,117,2,229,1,4,5,6,3,23,0,3,1,True,False,False,True,False,False,False,True
9.0,30.0,5,3.0,False,True,False,False,2,7,27,2,128,3,4,7,5,0,14,2,0,4,False,True,True,True,False,False,False,False
7.0,2.5,5,0.3125,False,False,False,False,1,3,75,2,513,2,4,5,5,0,10,3,3,4,False,True,False,False,False,False,False,False
7.1,7.0,5,0.8641975308641976,False,True,False,False,2,3,97,2,27,3,4,5,5,0,14,2,3,4,True,False,True,True,False,True,False,False
14.4,41.0,5,2.6623376623376624,False,True,False,False,3,7,51,2,709,1,1,4,1,0,2,1,3,4,False,True,True,False,False,False,False,False
10.3,15.6,5,1.3805309734513274,False,True,False,False,3,7,23,2,709,1,4,2,1,0,2,2,1,4,False,False,True,False,False,True,False,False
10.9,3.8,5,0.31932773109243695,False,True,False,False,2,3,25,2,355,3,4,5,1,0,6,1,2,4,False,False,True,True,False,True,False,False
0.5,31.9,5,21.266666666666666,True,False,False,False,1,7,63,2,234,2,1,6,4,0,19,2,2,4,True,False,False,False,False,False,False,False
10.3,5.1,5,0.4513274336283185,False,True,False,False,2,3,97,2,694,3,4,5,1,0,10,1,3,4,False,True,True,False,False,False,False,False
7.9,32.9,5,3.6966292134831455,False,True,True,False,4,7,51,2,613,0,1,4,5,0,28,0,1,4,True,False,False,True,True,False,False,False
10.9,4.9,5,0.411764705882353,False,True,False,False,1,3,16,2,334,2,4,5,1,0,23,3,0,4,True,False,False,True,False,False,False,False
12.1,27.4,5,2.0916030534351147,False,True,False,False,1,7,23,2,203,2,4,2,1,0,5,1,3,4,False,True,False,False,False,False,False,False
12.5,17.1,5,1.2666666666666668,False,True,False,False,1,7,75,2,180,2,4,5,1,0,20,0,1,4,True,False,False,True,False,False,False,False
18.0,5.3,5,0.2789473684210526,False,True,False,False,2,3,75,2,128,3,4,5,1,0,9,3,0,4,True,False,True,True,False,False,False,False
