is_emergency,severity_class,symptom_class,needs_immediate_attention
0,3,106,0
0,3,535,0
0,1,709,1
0,2,694,0
0,3,132,0
1,0,613,1
0,3,44,0
0,2,355,0
0,3,178,0
0,2,128,0
0,3,673,0
0,1,229,1
0,2,27,0
0,3,654,0
0,1,229,1
0,2,128,0
0,3,513,0
0,2,27,0
0,1,709,1
0,1,709,1
0,2,355,0
0,3,234,1
0,2,694,0
1,0,613,1
0,3,334,0
0,3,203,0
0,3,180,0
0,2,128,0
0,1,709,1
0,3,409,0
0,2,694,0
0,3,166,0
0,2,355,0
0,3,106,0
0,3,672,0
0,3,130,0
0,3,83,0
0,3,528,0
0,3,634,0
0,2,27,0
0,2,27,0
0,3,626,0
0,1,229,1
0,1,709,1
0,2,355,0
0,2,355,0
0,1,709,1
0,1,229,1
0,1,229,1
0,2,27,0
0,1,229,1
0,1,229,1
0,1,709,1
0,1,229,1
0,3,409,0
0,2,694,0
0,1,437,1
0,1,437,1
0,1,709,1
0,2,128,0
0,3,652,0
0,2,355,0
0,1,709,1
0,1,709,1
0,3,583,0
0,1,437,1
0,1,229,1
0,1,437,1
0,2,355,0
0,3,583,0
0,3,583,0
0,2,27,0
0,3,583,0
0,1,229,1
0,2,128,0
0,2,355,0
0,3,106,0
0,3,661,0
0,3,450,0
0,3,102,0
0,3,6,0
0,3,533,0
0,1,437,1
0,2,694,0
0,3,425,0
0,1,709,1
0,3,348,0
0,2,355,0
0,3,607,0
0,3,126,0
0,1,437,1
0,2,27,0
0,2,355,0
0,3,174,0
0,3,106,0
0,1,229,1
0,3,715,0
0,1,709,1
0,1,437,1
0,3,432,0
0,3,236,0
0,3,72,0
0,2,128,0
0,3,602,0
0,2,355,0
0,2,128,0
0,2,694,0
0,3,470,0
0,2,27,0
0,1,437,1
0,2,355,0
0,2,128,0
0,1,229,1
0,3,210,0
0,1,709,1
0,1,229,1
0,1,229,1
0,3,536,0
0,3,645,0
0,2,355,0
0,2,355,0
0,1,709,1
0,3,368,0
0,3,616,0
0,2,355,0
0,3,7,0
0,2,128,0
0,3,72,0
0,3,139,0
0,1,229,1
0,3,583,0
0,1,709,1
0,3,627,0
0,3,30,0
0,2,355,0
0,1,437,1
0,3,445,0
0,2,128,0
0,3,206,0
0,2,355,0
0,1,229,1
0,3,176,0
0,3,532,0
0,2,355,0
0,3,391,0
0,2,128,0
0,3,565,0
0,3,583,0
0,2,694,1
0,3,189,0
0,2,27,0
0,3,664,1
0,3,238,0
0,1,709,1
0,2,355,0
0,2,355,0
0,3,370,0
0,2,694,0
0,3,404,0
0,2,567,0
0,3,583,1
0,3,482,0
0,1,229,1
0,1,709,1
0,3,106,0
0,3,448,0
0,1,229,1
0,1,229,1
0,3,544,0
0,3,10,0
0,3,106,0
0,3,288,0
0,3,106,0
0,3,583,0
0,2,355,0
0,2,128,1
0,3,147,0
0,2,27,0
0,3,136,0
0,3,106,0
0,2,128,0
0,3,583,0
0,1,229,1
0,3,283,0
0,3,565,0
0,1,709,1
0,3,583,0
0,3,175,0
0,3,488,0
0,3,125,0
0,3,444,1
0,2,694,0
1,0,332,1
0,2,355,0
0,2,355,0
0,3,324,0
0,3,80,0
0,3,106,0
1,0,332,1
0,3,673,0
0,3,683,0
0,3,12,0
0,3,578,0
0,3,597,0
0,3,381,0
0,3,230,0
0,3,139,0
0,1,709,1
0,3,396,0
0,3,106,0
0,3,228,0
0,3,147,0
0,3,642,0
0,2,355,1
0,3,192,0
0,2,27,0
0,2,355,0
0,1,229,1
0,2,128,0
0,1,437,1
0,2,128,0
0,1,229,1
0,2,341,0
0,2,355,0
0,1,229,1
0,3,500,0
0,2,355,0
1,0,332,1
0,2,355,0
0,3,106,0
0,3,106,0
0,2,27,0
0,2,128,0
0,3,677,0
0,3,517,0
0,3,603,0
0,2,341,0
0,3,106,0
0,3,552,0
0,2,355,0
0,2,355,0
0,3,106,0
0,2,27,0
0,1,229,1
0,2,355,0
0,3,563,0
0,3,409,0
0,3,500,0
0,3,673,0
0,3,494,0
0,3,120,0
0,2,128,0
0,1,229,1
0,3,156,0
0,1,709,1
0,3,103,0
0,2,694,0
0,3,683,0
0,2,355,0
0,3,583,0
0,3,106,0
0,3,247,0
0,1,709,1
0,1,229,1
0,3,210,0
0,1,437,1
0,3,571,0
0,1,229,1
0,2,355,0
0,2,341,0
0,3,682,0
0,3,532,0
0,1,709,1
0,3,106,0
0,2,355,0
0,1,229,1
0,1,437,1
0,1,709,1
0,3,80,0
0,1,437,1
0,3,181,0
0,3,484,0
0,2,27,0
0,1,437,1
0,3,583,0
0,3,106,0
0,2,355,0
0,3,194,0
0,2,128,0
0,3,683,0
0,2,27,0
0,3,155,0
0,3,77,0
0,2,355,0
0,3,583,0
0,2,355,0
0,3,557,0
0,2,355,0
0,3,583,0
0,3,176,0
0,2,27,0
0,2,567,0
0,1,229,1
0,1,229,1
0,1,709,1
0,3,200,0
0,3,565,0
0,3,237,0
0,2,355,0
0,1,709,1
0,3,299,0
0,3,115,0
0,1,229,1
0,2,355,0
0,1,437,1
0,1,229,1
0,2,355,0
0,1,229,1
0,3,443,0
0,3,106,0
0,3,106,0
0,3,578,0
0,1,437,1
0,3,701,0
0,1,229,1
0,3,365,0
0,2,355,0
0,3,126,0
0,3,106,0
0,3,583,0
0,1,229,1
0,3,148,0
0,3,115,0
0,2,355,0
0,3,639,0
0,3,573,0
0,3,106,0
0,1,229,1
0,2,341,0
0,3,275,0
0,1,229,1
0,3,583,0
0,1,437,1
0,2,27,1
0,2,355,0
0,2,694,0
0,2,27,0
0,2,355,0
0,2,694,0
0,2,355,0
0,2,128,0
0,3,432,0
0,3,368,0
0,1,709,1
0,3,347,0
0,3,670,1
0,3,595,0
0,3,81,0
0,3,405,0
0,3,299,0
0,1,709,1
0,3,208,0
0,3,106,0
0,3,282,0
0,2,27,0
0,3,218,0
0,2,694,0
0,3,106,0
0,2,355,0
0,1,709,1
0,3,533,0
0,2,355,0
0,3,268,0
0,2,27,0
0,2,694,0
0,3,165,0
0,1,437,1
0,3,711,0
0,1,229,1
0,1,437,1
0,2,355,0
0,3,678,0
0,3,451,0
0,2,27,1
0,3,583,0
0,3,425,0
0,3,13,0
0,3,583,0
0,1,709,1
0,2,694,0
0,2,694,0
0,3,127,0
0,1,229,1
0,1,229,1
0,3,29,0
0,1,437,1
0,2,355,0
0,1,229,1
0,2,128,0
0,3,106,0
0,3,30,0
0,3,583,0
0,3,258,0
0,3,106,0
0,3,583,0
0,3,278,0
0,3,583,0
0,1,437,1
0,3,131,0
0,2,355,0
0,3,201,0
0,3,583,0
0,1,229,1
0,1,709,1
0,2,27,0
0,1,437,1
0,3,154,0
0,1,229,1
0,1,709,1
0,3,411,0
0,3,313,0
0,3,339,0
0,1,709,1
0,3,106,0
0,2,694,0
0,1,709,1
0,2,355,0
0,2,694,0
0,3,299,0
0,2,355,0
0,3,83,0
0,3,8,0
0,1,437,1
0,2,27,0
0,3,313,0
0,3,368,0
0,2,355,0
0,3,597,0
0,2,355,0
0,2,694,1
0,2,27,0
0,3,84,0
0,3,50,0
0,1,229,1
0,2,27,0
0,2,355,0
0,3,535,0
0,2,355,1
0,2,128,0
0,1,229,1
0,3,258,0
0,3,506,0
0,2,27,0
0,2,355,0
0,1,437,1
0,3,583,0
0,3,106,0
0,1,229,1
0,2,355,0
0,2,355,0
0,1,229,1
0,3,106,0
0,3,603,0
0,2,355,0
0,1,229,1
0,3,398,0
0,3,412,0
0,2,27,0
0,3,368,0
0,1,229,1
0,1,229,1
0,1,437,1
0,3,111,0
0,1,709,1
0,2,355,0
0,1,229,1
0,3,80,0
0,1,229,1
0,2,128,0
0,1,437,1
0,3,106,0
0,2,355,0
0,2,355,1
0,3,49,0
0,1,437,1
0,3,616,0
0,2,27,0
0,2,27,0
0,2,128,0
0,2,355,0
0,3,272,0
0,2,355,1
0,3,34,1
0,3,618,0
0,2,355,0
0,1,437,1
0,2,355,0
0,3,83,0
0,1,709,1
0,1,437,1
0,3,147,0
0,2,355,0
0,2,27,0
0,3,106,0
0,2,694,0
0,2,355,0
0,1,229,1
0,3,644,0
0,2,694,0
0,1,437,1
0,3,583,0
0,3,461,0
0,2,355,0
0,1,229,1
0,3,442,0
0,1,229,1
0,3,194,0
0,1,437,1
0,1,229,1
0,2,694,0
0,2,355,0
0,3,181,0
0,3,175,0
0,1,437,1
0,2,694,0
0,2,355,0
0,1,437,1
0,2,128,0
0,1,229,1
0,2,128,0
0,1,229,1
0,3,583,0
0,3,106,0
0,1,229,1
0,2,355,0
0,3,206,0
0,3,482,0
0,3,628,0
0,2,355,0
0,3,583,0
0,3,583,0
0,1,229,1
0,2,694,0
0,2,128,0
0,2,355,0
0,1,229,1
0,1,709,1
0,2,355,0
0,3,583,0
0,2,355,0
0,3,16,0
0,3,106,0
0,2,355,0
0,2,694,0
0,3,147,0
0,1,437,1
0,3,102,0
0,3,247,0
0,1,437,1
0,2,694,0
1,0,613,1
0,2,27,0
0,3,106,0
0,1,229,1
0,3,715,1
0,2,355,0
0,2,355,0
0,1,709,1
1,0,531,1
0,2,27,0
0,2,355,0
0,2,355,0
0,3,679,0
0,2,128,0
0,3,388,0
0,3,432,0
0,1,709,1
0,3,534,0
0,3,106,0
0,2,128,0
0,3,583,0
0,2,27,0
0,2,355,0
0,2,355,0
0,2,355,0
0,2,355,0
0,3,614,0
0,2,27,0
0,1,437,1
0,2,128,0
0,3,204,0
0,3,106,0
0,2,27,0
0,2,694,0
0,3,199,0
0,3,106,0
0,2,694,0
0,2,355,0
0,1,229,1
0,3,209,0
0,3,106,0
0,3,609,0
0,3,106,0
0,2,694,0
0,3,583,0
0,3,368,0
0,2,128,0
0,3,583,0
0,3,56,0
0,2,694,0
0,1,709,1
0,2,27,0
0,3,366,0
0,2,694,0
0,3,543,0
0,1,437,1
0,3,418,0
0,2,694,0
0,3,106,0
0,1,229,1
0,3,460,0
0,2,355,0
0,1,437,1
0,3,609,0
0,1,229,1
0,3,323,0
0,2,341,0
0,3,306,0
0,3,451,0
0,1,229,1
0,2,27,0
0,3,353,0
0,3,74,0
0,3,162,0
0,3,106,0
0,3,654,0
0,2,128,0
0,2,27,0
0,3,76,0
0,3,298,0
0,2,341,0
0,3,106,0
0,3,276,0
0,2,27,0
0,2,355,0
0,1,709,1
0,2,27,0
0,1,709,1
0,3,231,0
0,2,27,0
0,1,229,1
0,1,437,1
0,2,128,0
0,3,106,0
0,3,259,0
0,3,433,0
0,1,229,1
0,3,106,0
0,2,355,0
0,3,583,0
0,3,533,0
0,1,709,1
0,2,27,0
0,2,27,0
0,1,229,1
0,1,229,1
0,2,128,0
0,3,198,1
0,3,278,0
0,1,229,1
0,3,19,0
0,2,27,0
0,2,694,0
0,2,128,0
0,3,491,0
0,1,229,1
0,2,355,0
0,3,33,0
0,1,709,1
0,3,467,0
0,1,229,1
0,3,479,1
0,3,500,0
0,3,409,0
0,3,106,0
0,1,437,1
0,1,437,1
0,3,383,0
0,1,437,1
0,3,583,0
0,2,355,0
0,2,355,0
0,3,504,0
0,1,229,1
0,2,355,0
0,3,583,0
0,2,128,0
0,3,106,0
0,2,694,0
0,1,437,1
0,2,355,0
0,2,128,0
0,1,709,1
0,2,27,0
0,3,673,0
0,3,627,0
0,3,704,0
0,3,106,0
0,3,549,0
0,2,355,0
0,3,151,0
0,1,229,1
0,2,128,0
1,0,613,1
0,3,583,0
0,3,557,0
0,3,324,0
0,3,600,0
0,1,229,1
0,2,128,0
0,3,583,0
1,0,613,1
0,2,355,1
0,1,229,1
0,1,709,1
0,3,583,0
0,1,229,1
0,2,355,0
0,3,106,0
0,2,27,0
0,1,437,1
0,1,437,1
0,2,694,0
0,3,247,0
0,2,355,0
0,3,112,0
0,3,406,0
0,3,175,0
0,1,437,1
0,1,709,1
0,2,27,0
0,3,288,0
0,2,355,0
0,3,642,0
0,3,513,0
0,1,229,1
0,3,218,0
0,3,151,0
0,1,437,1
0,2,128,0
0,2,27,0
0,1,709,1
0,1,709,1
0,3,583,0
0,3,253,0
0,2,27,0
0,3,165,0
0,1,437,1
0,3,280,0
0,1,229,1
0,3,324,0
0,3,76,0
0,2,27,0
0,3,106,0
0,1,709,1
0,3,233,0
0,3,106,0
0,3,336,0
0,3,646,0
0,1,709,1
0,3,655,0
0,3,583,0
0,3,221,0
0,3,40,0
0,3,535,0
0,2,341,0
0,1,229,1
0,1,229,1
0,3,468,1
0,1,229,1
0,3,583,1
0,3,33,0
0,1,229,1
0,3,583,0
0,2,341,0
0,3,245,0
0,3,106,0
0,3,394,0
0,3,443,0
0,3,31,0
0,1,709,1
0,1,709,1
0,3,517,0
0,3,443,0
0,2,355,0
0,2,355,0
0,3,519,0
0,1,709,1
0,3,156,0
0,3,538,0
0,1,437,1
0,1,229,1
0,3,701,0
0,2,694,0
0,1,229,1
0,3,422,0
0,3,106,0
0,3,409,0
0,3,494,0
0,1,709,1
0,3,228,0
0,3,306,0
0,3,618,0
0,3,106,0
0,2,355,0
0,3,106,0
0,2,694,0
0,2,27,0
0,3,401,0
0,3,532,0
0,2,355,0
0,2,355,0
0,3,562,0
0,2,355,0
0,2,355,0
0,2,355,0
0,1,229,1
0,2,27,0
0,1,229,1
0,1,709,1
0,1,229,1
0,3,583,0
0,1,709,1
0,3,206,0
0,3,155,0
0,2,355,0
0,3,433,0
0,2,128,0
0,3,106,1
0,3,194,0
0,3,407,0
0,3,492,1
0,3,668,0
0,2,694,0
0,1,229,1
0,2,341,0
0,3,583,0
0,1,437,1
0,3,256,0
0,3,656,0
0,1,229,1
0,2,355,0
0,3,548,0
0,2,128,0
0,2,355,0
0,2,27,0
0,3,106,0
0,2,128,0
0,3,409,0
0,3,566,0
0,3,37,0
0,3,583,0
0,3,583,0
0,3,331,0
0,1,229,1
0,1,437,1
0,1,709,1
0,2,355,1
0,3,106,0
0,2,128,0
0,2,694,0
0,1,437,1
0,3,106,0
0,1,437,1
0,2,27,0
0,2,694,0
0,2,694,0
0,2,355,0
0,1,709,1
0,3,106,0
0,2,355,0
0,1,437,1
0,2,355,1
0,3,106,0
0,3,238,0
0,3,618,0
0,3,695,0
0,3,68,0
0,2,355,1
0,2,694,0
0,1,437,1
0,2,27,0
0,3,656,0
0,2,128,0
0,2,355,0
0,2,27,0
0,2,128,0
0,3,231,0
0,3,640,0
0,3,106,0
0,2,128,0
0,1,437,1
0,1,229,1
0,1,709,1
0,3,603,0
0,1,229,1
0,3,379,0
0,2,694,0
0,3,106,0
0,2,128,1
0,2,355,0
0,2,694,0
0,1,229,1
0,3,368,0
0,3,52,0
0,3,583,0
0,3,360,0
0,3,484,0
0,1,229,1
0,1,709,1
1,0,613,1
0,3,175,0
0,1,709,1
0,2,355,0
0,1,709,1
0,2,355,0
0,3,525,0
0,3,721,0
0,1,709,1
0,1,229,1
0,3,618,0
0,3,618,0
0,2,128,0
0,1,709,1
0,3,468,0
0,2,355,0
0,3,106,0
0,2,128,0
0,3,34,0
0,3,485,0
0,2,27,0
0,3,583,0
0,1,229,1
0,1,437,1
0,1,229,1
0,3,305,0
0,2,128,0
0,2,128,0
0,2,694,0
0,1,709,1
0,3,219,0
0,3,524,0
0,3,381,0
0,3,106,0
0,3,106,0
0,2,27,0
0,3,106,0
0,3,583,0
0,3,432,0
0,1,437,1
0,2,355,0
0,3,448,0
0,3,417,0
0,3,299,0
0,2,27,1
0,3,368,0
0,1,229,1
0,3,650,0
0,3,169,0
0,2,355,0
0,1,229,1
0,1,229,1
0,2,694,0
0,3,583,0
0,3,422,0
0,1,229,1
0,3,252,0
0,3,275,0
0,3,485,0
0,3,453,0
0,3,396,0
0,2,355,1
0,2,355,0
0,1,437,1
0,2,694,0
0,1,437,1
0,3,247,0
0,2,694,0
0,2,355,0
0,2,128,0
0,2,128,0
0,3,106,0
0,2,355,0
0,2,27,0
0,1,229,1
0,3,583,0
0,1,709,1
0,1,709,1
0,2,27,0
0,1,437,1
0,3,576,1
0,3,583,0
0,2,27,0
0,3,108,0
0,2,27,0
0,3,121,0
0,2,128,0
0,1,229,1
0,3,215,0
0,1,437,1
0,3,301,0
0,2,567,0
0,2,128,0
0,3,272,0
0,2,355,0
0,3,431,0
0,2,27,0
0,3,583,0
0,1,229,1
0,1,229,1
0,1,709,1
0,2,355,0
0,3,365,0
0,2,128,0
0,2,128,1
0,3,106,0
0,3,431,0
0,2,128,0
0,3,141,0
0,2,355,0
0,1,229,1
0,1,709,1
0,3,84,0
0,3,317,0
0,2,355,0
0,3,57,0
0,2,128,0
0,3,455,0
0,2,694,0
0,2,27,0
0,2,355,1
0,1,437,1
0,1,229,1
0,3,307,0
0,3,581,0
0,2,128,1
0,1,709,1
0,3,324,0
0,2,27,0
0,1,437,1
0,3,664,0
0,2,341,0
0,1,437,1
0,3,106,0
0,3,583,0
0,1,437,1
0,2,355,0
0,1,229,1
0,2,694,0
0,3,176,0
0,1,229,1
0,1,437,1
1,0,613,1
0,3,583,0
0,2,694,0
0,3,106,0
0,2,128,0
0,1,229,1
0,3,109,0
0,3,670,0
0,2,694,0
0,3,583,0
0,3,176,0
0,1,709,1
1,0,613,1
0,3,549,0
0,3,677,1
0,2,128,0
0,2,694,0
0,3,423,0
0,3,359,0
0,3,340,0
0,2,355,0
0,1,229,1
0,3,586,0
0,3,186,0
0,2,128,0
0,3,699,0
0,2,27,0
0,1,229,1
0,2,27,0
0,3,584,0
0,2,128,1
0,2,355,0
0,1,229,1
0,2,128,0
0,3,311,0
0,2,355,0
0,3,247,0
0,1,229,1
0,3,583,0
0,3,244,0
0,3,381,0
0,2,27,0
0,3,62,0
0,2,128,0
0,1,229,1
0,1,709,1
0,1,229,1
0,2,355,0
0,1,437,1
0,3,106,0
0,1,709,1
0,2,27,1
0,3,278,0
0,2,694,0
0,3,520,0
0,2,355,0
0,2,694,0
0,3,583,0
0,1,229,1
0,1,229,1
0,1,229,1
0,3,583,0
0,2,27,0
0,3,673,0
0,2,355,0
1,0,531,1
0,3,618,0
0,2,128,0
0,2,355,0
0,1,709,1
0,3,129,0
0,1,437,1
0,2,694,0
0,1,437,1
0,3,106,0
0,3,25,0
0,1,709,1
0,1,437,1
0,1,229,1
0,1,229,1
0,3,306,0
0,3,681,0
0,3,112,0
0,3,176,0
0,2,128,0
0,3,571,0
0,2,355,0
0,2,355,0
0,3,251,0
0,3,443,0
0,3,292,0
0,2,128,0
0,1,709,1
0,3,489,1
0,3,432,0
0,3,122,0
0,2,27,0
0,1,229,1
0,3,281,0
0,1,229,1
0,3,115,0
0,2,355,0
0,2,355,0
0,3,176,0
0,1,229,1
0,1,709,1
0,1,229,1
0,1,709,1
0,3,391,0
0,1,709,1
0,2,355,0
0,2,694,0
0,3,368,0
0,1,437,1
0,2,355,0
0,3,267,0
0,2,694,0
0,2,128,0
0,3,359,0
0,3,228,0
0,1,229,1
0,1,437,1
0,3,189,0
0,2,355,0
0,2,694,1
0,2,355,0
0,2,355,0
0,2,128,0
0,1,229,1
0,2,694,0
0,3,230,0
0,3,624,0
0,1,709,1
0,1,437,1
0,3,370,0
0,2,27,0
0,3,534,0
0,3,106,0
0,3,106,0
0,2,694,0
0,2,128,0
0,1,229,1
0,2,355,0
0,3,262,0
0,1,229,1
0,2,355,0
0,2,355,0
0,2,128,0
0,3,583,0
0,1,437,1
0,3,569,0
0,2,355,0
0,1,437,1
0,2,128,0
0,1,437,1
0,2,355,0
0,3,409,0
0,3,75,0
0,2,355,0
0,1,437,1
0,2,27,1
0,1,437,1
0,3,583,0
0,1,229,1
0,3,106,0
0,3,456,0
0,3,323,0
0,3,688,0
0,3,611,1
0,1,229,1
0,3,324,0
0,3,77,0
0,2,694,0
0,2,694,0
0,3,275,0
0,2,27,0
0,3,31,0
0,1,709,1
0,2,27,0
0,1,437,1
0,1,229,1
0,1,229,1
0,3,115,0
0,1,437,1
0,2,694,0
0,3,302,0
0,3,104,0
0,1,709,1
0,2,355,0
0,3,552,0
0,3,367,0
0,3,452,0
0,3,682,0
0,1,709,1
0,2,694,0
0,2,694,0
0,3,583,0
0,3,576,1
0,1,229,1
0,1,229,1
0,2,694,0
0,3,25,0
0,3,583,0
0,1,229,1
0,3,106,0
0,1,229,1
0,1,229,1
0,2,128,0
0,3,302,0
0,1,229,1
0,2,694,0
0,2,128,0
0,1,437,1
0,2,355,0
0,2,694,0
0,2,694,0
0,1,229,1
0,1,709,1
0,3,475,0
0,3,583,0
0,3,583,0
0,1,437,1
0,1,437,1
0,3,641,0
0,2,355,0
0,1,437,1
0,2,355,0
0,1,709,1
0,2,355,0
0,1,229,1
0,3,541,0
0,2,355,0
0,2,355,0
0,2,355,0
0,3,654,0
0,3,106,1
0,2,128,0
0,1,229,1
0,3,104,0
0,3,370,0
0,1,229,1
0,3,52,0
0,1,709,1
0,1,437,1
0,2,128,0
0,3,574,0
0,3,418,1
0,1,709,1
0,2,355,0
0,3,481,0
0,3,457,0
0,3,368,0
0,3,5,0
0,3,557,0
0,2,128,0
0,3,650,0
0,1,437,1
0,1,437,1
0,2,27,0
0,2,27,0
0,3,147,0
0,1,709,1
0,3,245,0
0,3,639,0
0,3,583,0
0,3,391,0
0,3,683,0
0,2,128,0
0,3,324,0
0,3,280,0
0,1,709,1
0,3,693,0
0,3,520,0
0,3,583,0
0,1,229,1
0,1,229,1
0,2,355,0
0,3,106,0
0,2,27,0
0,3,228,0
0,3,35,0
0,3,106,0
0,2,694,0
0,1,437,1
0,3,106,1
0,3,583,0
0,1,229,1
0,1,229,1
0,3,687,0
0,3,618,0
0,3,541,0
0,3,583,0
0,2,355,0
0,2,355,0
0,3,571,1
