pet_id,species,breed,age_years,weight_kg,gender,spayed_neutered,symptoms,diagnosis,severity,urgency_level,treatment_plan,medication,recovery_time_days,vet_notes,owner_concerns,behavior_changes,environmental_factors,previous_conditions,vaccination_status,emergency_visit,outcome,confidence_score,training_label
VET001,dog,Golden Retriever,3,25.5,male,true,"vomiting, diarrhea, lethargy",gastroenteritis,medium,medium,"rest, bland diet, hydration monitoring","metronidazole, probiotics",3,"Patient presented with acute gastrointestinal symptoms. No fever. Appetite decreased.","My dog has been sick for 2 days, not eating much","reduced activity, hiding, whining","recent diet change, stress from moving",none,up_to_date,false,recovered,0.92,GI_condition
VET002,cat,Persian,7,4.2,female,true,"coughing, sneezing, nasal discharge",upper respiratory infection,medium,medium,"antibiotics, humidifier, rest","amoxicillin, saline nasal drops",5,"Classic URI symptoms. Temperature slightly elevated.","Cat has been coughing and sneezing","lethargic, reduced appetite","exposure to other cats, cold weather",asthma,up_to_date,false,recovered,0.88,respiratory_condition
VET003,dog,German Shepherd,5,32.1,male,true,"limping, swelling, pain on palpation",hip dysplasia,high,high,"pain management, physical therapy, weight control","carprofen, glucosamine supplements",14,"Bilateral hip dysplasia confirmed via X-ray. Moderate to severe.","Dog has been limping for weeks","reluctant to jump, difficulty rising","recent weight gain, increased activity",none,up_to_date,false,managed,0.95,orthopedic_condition
VET004,cat,Domestic Shorthair,2,3.8,female,true,"excessive urination, increased thirst, weight loss",diabetes mellitus,high,high,"insulin therapy, diet modification, glucose monitoring","insulin glargine, prescription diet",30,"Blood glucose 450 mg/dL. Ketones present in urine.","Cat drinking and peeing a lot","increased appetite, weight loss","diet change to high-carb food",none,up_to_date,false,managed,0.97,metabolic_condition
VET005,dog,Labrador Retriever,1,18.3,male,false,"seizures, loss of consciousness, drooling",epilepsy,emergency,emergency,"emergency stabilization, anticonvulsant therapy","phenobarbital, diazepam",1,"Status epilepticus. Emergency intervention required.","Dog had a seizure and collapsed","confusion, disorientation","stress from fireworks, heat exposure",none,up_to_date,true,stabilized,0.99,neurological_emergency
VET006,cat,British Shorthair,4,5.1,male,true,"vomiting, abdominal pain, distended abdomen",urinary obstruction,emergency,emergency,"emergency catheterization, fluid therapy","buprenorphine, IV fluids",2,"Complete urethral obstruction. Emergency surgery required.","Cat can't urinate and is in pain","straining to urinate, vocalizing","stress, inadequate water intake",FLUTD,up_to_date,true,recovered,0.98,urinary_emergency
VET007,dog,Beagle,6,15.2,female,true,"skin lesions, itching, hair loss",allergic dermatitis,medium,medium,"allergy testing, hypoallergenic diet, topical treatment","prednisolone, antihistamines",10,"Atopic dermatitis with secondary bacterial infection.","Dog has been scratching constantly","restless, rubbing against furniture","seasonal allergies, new laundry detergent",none,up_to_date,false,improved,0.85,dermatological_condition
VET008,cat,Siberian,9,6.8,female,true,"weight loss, increased appetite, hyperactivity",hyperthyroidism,high,high,"thyroid medication, regular monitoring","methimazole, beta-blockers",21,"T4 levels elevated at 8.5 μg/dL. Heart rate increased.","Cat is eating more but losing weight","restless, vocalizing more","none identified",none,up_to_date,false,managed,0.94,endocrine_condition
VET009,dog,Border Collie,4,20.7,male,true,"lameness, joint swelling, stiffness",arthritis,medium,medium,"pain management, joint supplements, exercise modification","meloxicam, chondroitin",28,"Osteoarthritis in multiple joints. X-rays confirm bone changes.","Dog is stiff and limping","reluctant to play, difficulty climbing stairs","cold weather, increased activity",none,up_to_date,false,managed,0.89,orthopedic_condition
VET010,cat,Maine Coon,5,7.2,male,true,"difficulty breathing, open-mouth breathing",cardiac condition,emergency,emergency,"oxygen therapy, cardiac medication, monitoring","furosemide, enalapril",3,"Cardiomyopathy with pulmonary edema. Emergency treatment.","Cat is breathing heavily","lethargic, not eating","none identified",none,up_to_date,true,stabilized,0.96,cardiac_emergency
